#TYPE Microsoft.Management.Infrastructure.CimInstance#ROOT/StandardCimv2/MSFT_NetAdapter
"MacAddress","Status","LinkSpeed","MediaType","PhysicalMediaType","AdminStatus","MediaConnectionState","DriverInformation","DriverFileName","NdisVersion","ifOperStatus","ifAlias","InterfaceAlias","ifIndex","ifDesc","ifName","DriverVersion","LinkLayerAddress","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AdditionalAvailability","Availability","CreationClassName","DeviceID","ErrorCleared","ErrorDescription","IdentifyingDescriptions","LastErrorCode","MaxQuiesceTime","OtherIdentifyingInfo","PowerManagementCapabilities","PowerManagementSupported","PowerOnHours","StatusInfo","SystemCreationClassName","SystemName","TotalPowerOnHours","MaxSpeed","OtherPortType","PortType","RequestedSpeed","Speed","UsageRestriction","ActiveMaximumTransmissionUnit","AutoSense","FullDuplex","LinkTechnology","NetworkAddresses","OtherLinkTechnology","OtherNetworkPortType","PermanentAddress","PortNumber","SupportedMaximumTransmissionUnit","AdminLocked","ComponentID","ConnectorPresent","DeviceName","DeviceWakeUpEnable","DriverDate","DriverDateData","DriverDescription","DriverMajorNdisVersion","DriverMinorNdisVersion","DriverName","DriverProvider","DriverVersionString","EndPointInterface","HardwareInterface","Hidden","HigherLayerInterfaceIndices","IMFilter","InterfaceAdminStatus","InterfaceDescription","InterfaceGuid","InterfaceIndex","InterfaceName","InterfaceOperationalStatus","InterfaceType","iSCSIInterface","LowerLayerInterfaceIndices","MajorDriverVersion","MediaConnectState","MediaDuplexState","MinorDriverVersion","MtuSize","NdisMedium","NdisPhysicalMedium","NetLuid","NetLuidIndex","NotUserRemovable","OperationalStatusDownDefaultPortNotAuthenticated","OperationalStatusDownInterfacePaused","OperationalStatusDownLowPowerState","OperationalStatusDownMediaDisconnected","PnPDeviceID","PromiscuousMode","ReceiveLinkSpeed","State","TransmitLinkSpeed","Virtual","VlanID","WdmInterface","PSComputerName"
"1C-CE-51-F0-FD-2D","Up","72.2 Mbps","Native 802.11","Native 802.11","Up","Connected","Driver Date 2023-04-18 Version 2024.10.228.3 NDIS 6.70","rtwlane.sys","6.70","Up","Wi-Fi","Wi-Fi","7","Realtek RTL8822CE 802.11ac PCIe Adapter","wireless_32768","2024.10.228.3","1C-CE-51-F0-FD-2D",,,,"{35DD00BB-A08A-4ACB-9DF6-FD0D5368AA2E}",,,,,"Wi-Fi",,,,,,"2","5",,"12",,"12",,,"MSFT_NetAdapter","{35DD00BB-A08A-4ACB-9DF6-FD0D5368AA2E}",,,,,,,,,,,"CIM_NetworkPort","SAMYU",,,,,,"72200000",,"1500",,"False",,"System.String[]",,,"1CCE51F0FD2D","0",,"False","pci\ven_10ec&dev_c822&subsys_85f7103c","True","\Device\{35DD00BB-A08A-4ACB-9DF6-FD0D5368AA2E}","True","2023-04-18","133262496000000000","Realtek RTL8822CE 802.11ac PCIe Adapter","6","70","\SystemRoot\system32\DRIVERS\rtwlane.sys","Realtek Semiconductor Corp.","2024.10.228.3","False","True","False","System.UInt32[]","False","1","Realtek RTL8822CE 802.11ac PCIe Adapter","{35DD00BB-A08A-4ACB-9DF6-FD0D5368AA2E}","7","wireless_32768","1","71","False",,"1","1","1","0","1500","16","9","19985273102270464","32768","False","False","False","False","False","PCI\VEN_10EC&DEV_C822&SUBSYS_85F7103C&REV_00\00E04CFFFEC8220100","False","72200000","2","72200000","False",,"False",
"0A-00-27-00-00-03","Up","1 Gbps","802.3","802.3","Up","Connected","Driver Date 2024-01-15 Version 7.0.14.11095 NDIS 6.0","VBoxNetAdp6.sys","6.0","Up","Ethernet 2","Ethernet 2","3","VirtualBox Host-Only Ethernet Adapter","ethernet_32774","7.0.14.11095","0A-00-27-00-00-03",,,,"{03CB1AE5-F536-49F2-9D9C-60E7C16DD4E4}",,,,,"Ethernet 2",,,,,,"2","5",,"12",,"12",,,"MSFT_NetAdapter","{03CB1AE5-F536-49F2-9D9C-60E7C16DD4E4}",,,,,,,,,,,"CIM_NetworkPort","SAMYU",,,,,,"1000000000",,"1500",,"True",,"System.String[]",,,"0A0027000003","0",,"False","sun_vboxnetadp","False","\Device\{03CB1AE5-F536-49F2-9D9C-60E7C16DD4E4}","False","2024-01-15","133497504000000000","VirtualBox Host-Only Ethernet Adapter","6","0","\SystemRoot\system32\DRIVERS\VBoxNetAdp6.sys","Oracle Corporation","7.0.14.11095","True","False","False","System.UInt32[]","False","1","VirtualBox Host-Only Ethernet Adapter","{03CB1AE5-F536-49F2-9D9C-60E7C16DD4E4}","3","ethernet_32774","1","6","False",,"1","1","2","0","1500","0","14","1689399716741120","32774","False","False","False","False","False","ROOT\NET\0000","False","1000000000","2","1000000000","True",,"True",
